date     ,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
1-1-2016 ,42                 ,34                 ,38.0               ,0.00         ,0.0      ,0
2-1-2016 ,40                 ,32                 ,36.0               ,0.00         ,0.0      ,0
3-1-2016 ,45                 ,35                 ,40.0               ,0.00         ,0.0      ,0
4-1-2016 ,36                 ,14                 ,25.0               ,0.00         ,0.0      ,0
5-1-2016 ,29                 ,11                 ,20.0               ,0.00         ,0.0      ,0
6-1-2016 ,41                 ,25                 ,33.0               ,0.00         ,0.0      ,0
7-1-2016 ,46                 ,31                 ,38.5               ,0.00         ,0.0      ,0
8-1-2016 ,46                 ,31                 ,38.5               ,0.00         ,0.0      ,0
9-1-2016 ,47                 ,40                 ,43.5               ,0.00         ,0.0      ,0
10-1-2016,59                 ,40                 ,49.5               ,1.80         ,0.0      ,0
11-1-2016,40                 ,26                 ,33.0               ,0.00         ,0.0      ,0
12-1-2016,44                 ,25                 ,34.5               ,0.00         ,0.00     ,0
13-1-2016,30                 ,22                 ,26.0               ,0.00         ,0.0      ,0
14-1-2016,38                 ,22                 ,30.0               ,0.00         ,0.00     ,0
15-1-2016,51                 ,34                 ,42.5               ,0.00         ,0.0      ,0
16-1-2016,52                 ,42                 ,47.0               ,0.24         ,0.0      ,0
17-1-2016,42                 ,30                 ,36.0               ,0.05         ,0.4      ,0
18-1-2016,31                 ,18                 ,24.5               ,0.00         ,0.00     ,0.00
19-1-2016,28                 ,16                 ,22.0               ,0.00         ,0.0      ,0.00
